"","Timepoint","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1",1,"Treatment",1,6,0.429,0.537,"",0.067,1
"2",2,"Treatment",1,6,1.237,0.309,"",0.171,1
"3",3,"Treatment",1,6,5.707,0.054,"",0.487,0.27
"4",4,"Treatment",1,5,4.034,0.101,"",0.447,0.505
"5",5,"Treatment",1,5,10.013,0.025,"*",0.667,0.125
