"","Plate","Tank.Number","Temperature.Number","Abs_562nm","Unique_ID","Abs_562nm_cor","TotalProtein_ug_mL","TotalProtein_ug"
"1",1,5,4,1.1832,"Plate1_Tank5_Temperature4",1.0617,852.870262983736,21.3217565745934
"2",1,11,5,1.7222,"Plate1_Tank11_Temperature5",1.6007,1350.76685100399,33.7691712750997
"3",1,11,5,1.8153,"Plate1_Tank11_Temperature5",1.6938,1441.16902011844,36.029225502961
"4",1,13,5,0.7686,"Plate1_Tank13_Temperature5",0.6471,495.213418059857,12.3803354514964
"5",1,13,5,0.7689,"Plate1_Tank13_Temperature5",0.6474,495.465257497064,12.3866314374266
"6",1,5,4,1.1255,"Plate1_Tank5_Temperature4",1.004,801.886541816218,20.0471635454054
"7",1,11,3,1.4496,"Plate1_Tank11_Temperature3",1.3281,1093.83072009577,27.3457680023941
"8",1,5,2,2.4262,"Plate1_Tank5_Temperature2",2.3047,2074.21165398768,51.8552913496921
"9",1,6,3,0.9428,"Plate1_Tank6_Temperature3",0.8213,643.090172936967,16.0772543234242
"10",1,6,3,0.9794,"Plate1_Tank6_Temperature3",0.8579,674.58932833306,16.8647332083265
"11",1,11,3,1.4447,"Plate1_Tank11_Temperature3",1.3232,1089.31205231183,27.2328013077957
"12",1,5,3,1.0633,"Plate1_Tank5_Temperature3",0.9418,747.381821050582,18.6845455262646
"13",1,5,3,1.0699,"Plate1_Tank5_Temperature3",0.9484,753.143230830172,18.8285807707543
"14",1,12,1,1.3028,"Plate1_Tank12_Temperature1",1.1813,959.887506799712,23.9971876699928
"15",1,12,1,1.3015,"Plate1_Tank12_Temperature1",1.18,958.714320365121,23.967858009128
"16",1,12,2,0.9682,"Plate1_Tank12_Temperature2",0.8467,664.933978724354,16.6233494681088
"17",1,12,2,1.0529,"Plate1_Tank12_Temperature2",0.9314,738.313753948909,18.4578438487227
"18",1,5,2,2.5253,"Plate1_Tank5_Temperature2",2.4038,2184.51666381353,54.6129165953382
"19",1,13,2,0.6832,"Plate1_Tank13_Temperature2",0.5617,423.906920401499,10.5976730100375
