"","Plate","Tank.Number","Temperature.Number","Abs_562nm","Unique_ID","Abs_562nm_cor","TotalProtein_ug_mL","TotalProtein_ug"
"1",1,14,1,2.3829,"Plate1_Tank14_Temperature1",2.29935,2967.5397113322,74.1884927833049
"2",1,14,2,1.0522,"Plate1_Tank14_Temperature2",0.96865,1064.23004906348,26.605751226587
"3",1,14,2,1.04,"Plate1_Tank14_Temperature2",0.95645,1049.82637729978,26.2456594324944
"4",1,7,1,0.6986,"Plate1_Tank7_Temperature1",0.61505,661.029302867457,16.5257325716864
"5",1,7,1,0.7212,"Plate1_Tank7_Temperature1",0.63765,685.970086519977,17.1492521629994
"6",1,14,1,2.3604,"Plate1_Tank14_Temperature1",2.27685,2927.03770833394,73.1759427083484
"7",1,14,5,1.8743,"Plate1_Tank14_Temperature5",1.79075,2141.96681566039,53.5491703915097
"8",1,14,5,1.8238,"Plate1_Tank14_Temperature5",1.74025,2068.28608391053,51.7071520977631
"9",1,7,5,2.5614,"Plate1_Tank7_Temperature5",2.47785,3306.72963983884,82.668240995971
"10",1,7,3,2.821,"Plate1_Tank7_Temperature3",2.73745,3875.73878315346,96.8934695788364
"11",1,14,3,2.4027,"Plate1_Tank14_Temperature3",2.31915,3003.56408362726,75.0891020906814
"12",1,14,3,2.355,"Plate1_Tank14_Temperature3",2.27145,2917.38442312052,72.9346105780131
"13",1,13,5,1.1612,"Plate1_Tank13_Temperature5",1.07765,1194.63757885681,29.8659394714203
"14",1,13,5,1.1805,"Plate1_Tank13_Temperature5",1.09695,1218.06044955576,30.4515112388941
"15",1,6,5,1.8581,"Plate1_Tank6_Temperature5",1.77455,2118.19716495414,52.9549291238536
"16",1,6,5,1.8913,"Plate1_Tank6_Temperature5",1.80775,2167.04888977248,54.176222244312
"17",1,7,5,2.4043,"Plate1_Tank7_Temperature5",2.32075,3006.49113737312,75.1622784343279
"18",1,6,3,1.6487,"Plate1_Tank6_Temperature3",1.56515,1821.69500423844,45.5423751059611
"19",1,13,3,1.7864,"Plate1_Tank13_Temperature3",1.70285,2014.49000561038,50.3622501402596
"20",1,13,3,1.702,"Plate1_Tank13_Temperature3",1.61845,1895.37342102517,47.3843355256292
"21",1,14,4,2.6296,"Plate1_Tank14_Temperature4",2.54605,3446.09615908033,86.1524039770083
"22",1,14,4,2.4907,"Plate1_Tank14_Temperature4",2.40715,3168.31232918526,79.2078082296314
"23",1,7,4,2.1744,"Plate1_Tank7_Temperature4",2.09085,2608.12880832923,65.2032202082307
"24",1,7,4,2.1128,"Plate1_Tank7_Temperature4",2.02925,2508.05444642701,62.7013611606753
"25",1,6,2,2.0092,"Plate1_Tank6_Temperature2",1.92565,2345.11540470609,58.6278851176523
"26",1,13,2,1.5279,"Plate1_Tank13_Temperature2",1.44435,1658.81551901379,41.4703879753447
"27",1,13,2,1.5463,"Plate1_Tank13_Temperature2",1.46275,1683.27303494485,42.0818258736211
"28",1,6,3,1.6389,"Plate1_Tank6_Temperature3",1.55535,1808.27272755644,45.2068181889109
"29",1,6,4,2.3785,"Plate1_Tank6_Temperature4",2.29495,2959.58338159416,73.989584539854
"30",1,5,1,1.1689,"Plate1_Tank5_Temperature1",1.08535,1203.97015037996,30.0992537594989
"31",1,12,1,1.5166,"Plate1_Tank12_Temperature1",1.43305,1643.85584469299,41.0963961173249
"32",1,12,1,1.5745,"Plate1_Tank12_Temperature1",1.49095,1720.99723497296,43.024930874324
"33",1,6,4,1.8108,"Plate1_Tank6_Temperature4",1.72725,2049.51399819978,51.2378499549945
"34",1,13,4,1.9875,"Plate1_Tank13_Temperature4",1.90395,2311.77968454639,57.7944921136598
