"","Plate","Tank.Number","Temperature.Number","Abs_562nm","Unique_ID","Abs_562nm_cor","TotalProtein_ug_mL","TotalProtein_ug"
"1",1,3,3,2.1821,"Tank3_Temperature3",2.10285,1668.75526759938,41.7188816899844
"2",1,10,3,2.7648,"Tank10_Temperature3",2.68555,2386.98759716411,59.6746899291028
"3",1,10,3,2.6979,"Tank10_Temperature3",2.61865,2290.30566522965,57.2576416307412
"4",1,4,3,1.6731,"Tank4_Temperature3",1.59385,1180.69566965696,29.517391741424
"5",1,3,3,2.3896,"Tank3_Temperature3",2.31035,1897.99020866824,47.4497552167059
"6",1,9,2,1.426,"Tank9_Temperature2",1.34675,970.741594054023,24.2685398513506
"8",1,9,2,1.5298,"Tank9_Temperature2",1.45055,1057.19577147996,26.4298942869991
"9",1,1,2,2.336,"Tank1_Temperature2",2.25675,1836.58995817483,45.9147489543706
"15",1,4,5,3.0475,"Tank4_Temperature5",2.96825,2874.58854424856,71.864713606214
"17",1,4,5,2.782,"Tank4_Temperature5",2.70275,2412.71851893927,60.3179629734818
"18",1,6,2,2.6193,"Tank6_Temperature2",2.54005,2182.80564147251,54.5701410368127
"19",1,6,2,2.0181,"Tank6_Temperature2",1.93885,1501.62772061053,37.5406930152634
"20",1,10,2,2.3597,"Tank10_Temperature2",2.28045,1863.5347571773,46.5883689294326
"21",1,10,2,2.2456,"Tank10_Temperature2",2.16635,1736.58448301788,43.414612075447
"23",1,8,3,3.1064,"Tank8_Temperature3",3.02715,3002.17101588016,75.054275397004
"24",1,3,1,2.5545,"Tank3_Temperature1",2.47525,2098.43092483843,52.4607731209609
"25",1,3,1,2.2122,"Tank3_Temperature1",2.13295,1700.67230770759,42.5168076926897
"26",1,10,4,1.8991,"Tank10_Temperature4",1.81985,1386.70083486915,34.6675208717287
"27",1,10,4,1.9706,"Tank10_Temperature4",1.89135,1455.16368507507,36.3790921268767
"28",1,8,3,3.1898,"Tank8_Temperature3",3.11055,3212.34569183982,80.3086422959956
"30",1,7,5,3.1192,"Tank7_Temperature5",3.03995,3031.83700976396,75.7959252440991
"34",1,10,1,3.0874,"Tank10_Temperature1",3.00815,2959.5086605602,73.9877165140051
"35",1,7,1,0.951,"Tank7_Temperature1",0.87175,601.964357804284,15.0491089451071
"36",1,7,1,2.089,"Tank7_Temperature1",2.00975,1572.54482070425,39.3136205176064
"38",1,9,4,1.2245,"Tank9_Temperature4",1.14525,809.312950077577,20.2328237519394
"40",1,6,1,3.3141,"Tank6_Temperature1",3.23485,3677.69234763575,91.9423086908936
"41",1,9,4,1.7514,"Tank9_Temperature4",1.67215,1250.40543383811,31.2601358459529
"43",2,10,5,2.5065,"Tank10_Temperature5",2.42465,2276.38587562336,56.9096468905839
"45",2,5,1,2.6294,"Tank5_Temperature1",2.54755,2493.51616925428,62.3379042313571
"48",2,13,5,2.2278,"Tank13_Temperature5",2.14595,1872.59241466679,46.8148103666697
"53",2,11,1,1.4504,"Tank11_Temperature1",1.36855,1042.84566989804,26.0711417474509
"54",2,11,1,1.459,"Tank11_Temperature1",1.37715,1050.65462336941,26.2663655842352
"56",2,14,2,2.9336,"Tank14_Temperature2",2.85175,3368.8387772538,84.2209694313449
"57",2,14,2,2.1504,"Tank14_Temperature2",2.06855,1774.68520965258,44.3671302413146
"58",2,12,1,2.7917,"Tank12_Temperature1",2.70985,2853.74422062531,71.3436055156327
"61",2,9,1,2.6621,"Tank9_Temperature1",2.58025,2557.66349164166,63.9415872910414
"62",2,9,1,1.9401,"Tank9_Temperature1",1.85825,1529.88987051289,38.2472467628222
"67",2,7,2,2.1925,"Tank7_Temperature2",2.11065,1827.3368255072,45.6834206376801
"69",2,11,2,2.565,"Tank11_Temperature2",2.48315,2375.6053917541,59.3901347938524
"73",2,13,2,2.3184,"Tank13_Temperature2",2.23655,1993.92691177793,49.8481727944483
"78",2,4,2,2.0376,"Tank4_Temperature2",1.95575,1639.93055667185,40.9982639167961
"79",2,4,2,1.7828,"Tank4_Temperature2",1.70095,1362.80899394405,34.0702248486013
"81",2,2,2,2.335,"Tank2_Temperature2",2.25315,2017.05300134861,50.4263250337152
"82",2,2,2,2.4385,"Tank2_Temperature2",2.35665,2168.62021589085,54.2155053972714
"84",2,9,3,2.9495,"Tank9_Temperature3",2.86765,3473.80987139399,86.8452467848498
