"","Timepoint","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1",1,"Treatment",1,12,0.226,0.643,"",0.018,1
"2",2,"Treatment",1,10,25.655,0.000488,"*",0.72,0.001952
"3",4,"Treatment",1,10,0.462,0.512,"",0.044,1
"4",5,"Treatment",1,9,6.301,0.033,"*",0.412,0.132
