"","Plate","Tank.Number","Temperature.Number","Abs_562nm","Unique_ID","Abs_562nm_cor","TotalProtein_ug_mL","TotalProtein_ug"
"1",1,2,1,0.9238,"Plate_1Tank2_Temperature1",0.82485,919.97688759128,22.999422189782
"2",1,3,1,0.552,"Plate_1Tank3_Temperature1",0.45305,469.89064611888,11.747266152972
"3",1,3,1,0.5953,"Plate_1Tank3_Temperature1",0.49635,519.770521012243,12.9942630253061
"4",1,1,1,1.0364,"Plate_1Tank1_Temperature1",0.93745,1067.49118277426,26.6872795693566
"5",1,1,1,1.0622,"Plate_1Tank1_Temperature1",0.96325,1102.15990532396,27.5539976330991
"6",1,2,1,1.0531,"Plate_1Tank2_Temperature1",0.95415,1089.89301736207,27.2473254340518
"7",1,4,1,1.2878,"Plate_1Tank4_Temperature1",1.18885,1421.23502546042,35.5308756365104
"8",1,8,1,1.6796,"Plate_1Tank8_Temperature1",1.58065,2068.1850844248,51.7046271106201
"9",1,9,1,1.0038,"Plate_1Tank9_Temperature1",0.90485,1024.16180874698,25.6040452186746
"10",1,9,1,1.1003,"Plate_1Tank9_Temperature1",1.00135,1153.98928269613,28.8497320674033
"11",1,4,1,1.2841,"Plate_1Tank4_Temperature1",1.18515,1415.74636362326,35.3936590905816
"12",1,5,1,0.5676,"Plate_1Tank5_Temperature1",0.46865,487.791982408097,12.1947995602024
"13",1,5,1,0.5771,"Plate_1Tank5_Temperature1",0.47815,498.731452096248,12.4682863024062
"14",1,6,1,0.9484,"Plate_1Tank6_Temperature1",0.84945,951.699421674528,23.7924855418632
"15",1,6,1,0.9544,"Plate_1Tank6_Temperature1",0.85545,959.478230251279,23.986955756282
"16",1,7,1,0.2363,"Plate_1Tank7_Temperature1",0.13735,122.875864398589,3.07189660996472
"17",1,7,1,0.2302,"Plate_1Tank7_Temperature1",0.13125,116.433603205049,2.91084008012623
"18",1,8,1,1.9247,"Plate_1Tank8_Temperature1",1.82575,2573.99300052182,64.3498250130455
