"","Plate","Timepoint","Tank.Number","Treatment","Temperature","N","PEPCK_Activity_nmolPyruvante_ngProtein","sd","se","ci"
"33",2,4,3,"Ambient","22_t4",2,0.72411036639453,0.0270900598432289,0.0191555650178965,0.243394530954499
"34",2,4,4,"Ambient","22_t4",2,0.43283064507602,0.0150907064106669,0.0106707408358779,0.135584617747324
"35",2,4,5,"Ambient","22_t4",2,0.790724899372014,0.0394509064938361,0.0278960035057479,0.35445233186508
"36",2,4,6,"Ambient","22_t4",4,-0.230774401532871,0.00124251345982234,0.000621256729911172,0.00197711618473845
"37",2,4,8,"Heated","34",2,0.435225430951041,0.0581680443213371,0.0411310185879771,0.522619143186244
"38",2,4,9,"Heated","34",2,0.353330041849184,0.0327508329610373,0.0231583360762573,0.294254559534066
"39",2,4,10,"Heated","34",2,0.18927120124025,0.0474592020852143,0.0335587236241578,0.426404013053251
"40",2,4,11,"Heated","34",4,0.238946909699299,0.0220837351856529,0.0110418675928264,0.0351401507242224
"41",2,4,12,"Heated","34",2,0.668068161560539,0.0430578871521512,0.0304465239888512,0.386859767307198
"42",2,4,13,"Heated","34",2,0.0153287822061584,0.000103160843591891,7.29457320567507e-05,0.000926863406143217
"43",2,4,14,"Heated","34",2,1.18903715152957,0.140781946070538,0.0995478687351161,1.26487560119823
"44",2,5,2,"Ambient","22_t5",2,0.762882004727517,0.0665743364048189,0.0470751647248418,0.598146680982989
"45",2,5,3,"Ambient","22_t5",4,0.81732066773579,0.0695243079995556,0.0347621539997778,0.110628688560296
"46",2,5,4,"Ambient","22_t5",2,0.811818178141751,0.0592268223276531,0.0418796876960143,0.532131886152614
"47",2,5,5,"Ambient","22_t5",2,0.346565286675682,0.0215954927919048,0.0152703193962211,0.194027804635165
"48",2,5,6,"Ambient","22_t5",2,1.13775441317293,0.0280372691109991,0.0198253431143396,0.25190486857571
"49",2,5,7,"Ambient","22_t5",2,1.04217658631713,0.0493507031284826,0.0348962168384742,0.4433984756676
"50",2,5,9,"Heated","36",2,0.674071055642217,0.00340148444539776,0.00240521271744132,0.0305611252218605
"51",2,5,10,"Heated","36",2,0.0835891214535918,0.00543569551338701,0.00384361715798125,0.0488377865367836
"52",2,5,11,"Heated","36",2,0.509483334925619,0.0252879965624248,0.0178813138519127,0.227203634754199
"53",2,5,12,"Heated","36",4,0.585489810827411,0.03181436744846,0.01590718372423,0.0506237580706448
"54",2,5,13,"Heated","36",2,0.253695431035165,0.012929571201378,0.00914258747432867,0.116167588267206
"55",2,5,14,"Heated","36",2,1.82653090576111,0.0885803849136073,0.0626357908525262,0.795863182384417
